From, to, distance in meters, calcTime, journeysFound, bestPickDeparture,bestPickTime, worstPickDeparture, worstPickTime
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008894235,174110.5,4627,15,201909-18T13:38:00,11940,2019-09-18T08:06:00,13620
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008894425,177417.7,5670,15,201909-18T13:55:00,12840,2019-09-18T08:22:00,14520
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008894433,176892.3,6563,23,201909-18T14:00:00,13020,2019-09-18T08:28:00,14700
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008894508,175474,8834,34,201909-18T13:50:00,12660,2019-09-18T08:11:00,13920
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008894672,168034.9,5614,12,201909-18T13:45:00,12180,2019-09-18T08:06:00,13440
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008894714,174275.9,5165,26,201909-18T14:09:00,13620,2019-09-18T10:42:00,15660
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008894748,172245.9,5941,32,201909-18T14:13:00,13920,2019-09-18T08:29:00,14760
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008894755,171067.9,4771,36,201909-18T14:15:00,13980,2019-09-18T08:35:00,15180
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008894821,169209.6,4652,36,201909-18T14:10:00,13740,2019-09-18T08:30:00,14940
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895000,165989.4,7952,21,201909-18T07:43:00,12000,2019-09-18T07:43:00,12000
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895067,170899.5,5885,21,201909-18T07:48:00,12360,2019-09-18T13:49:00,12480
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895091,163673.2,6876,14,201909-18T07:45:00,12180,2019-09-18T07:45:00,12180
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895125,167222.5,1978,16,201909-18T13:58:00,12960,2019-09-18T08:23:00,14400
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895208,175570.7,6103,21,201909-18T13:40:00,11820,2019-09-18T20:07:00,13500
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895232,180975.1,4944,37,201909-18T13:56:00,13020,2019-09-18T09:25:00,18120
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895240,177733.9,4890,33,201909-18T13:51:00,12540,2019-09-18T08:31:00,14880
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895257,179639.1,5179,33,201909-18T13:55:00,12720,2019-09-18T08:28:00,14700
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895422,174063.9,4832,21,201909-18T08:01:00,13080,2019-09-18T20:04:00,13260
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895430,172960.2,5312,21,201909-18T13:47:00,12120,2019-09-18T20:02:00,13080
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895448,172219.6,4148,21,201909-18T07:57:00,12780,2019-09-18T20:00:00,12960
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895455,170956.1,5272,21,201909-18T13:32:00,11340,2019-09-18T19:55:00,12780
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895463,170516.7,2350,16,201909-18T13:48:00,12300,2019-09-18T08:33:00,15060
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895471,169747.6,2111,16,201909-18T13:51:00,12540,2019-09-18T08:30:00,14820
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895489,169476.7,1983,16,201909-18T13:55:00,12720,2019-09-18T08:26:00,14640
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895505,167118.2,6773,50,201909-18T13:56:00,12840,2019-09-18T18:48:00,16080
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895570,172171.4,5124,15,201909-18T14:00:00,13260,2019-09-18T08:41:00,15720
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895612,163351.2,4251,33,201909-18T13:53:00,12660,2019-09-18T08:25:00,14520
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895620,159883.8,4265,33,201909-18T13:50:00,12420,2019-09-18T08:22:00,14340
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895638,157760.4,4998,33,201909-18T13:47:00,12240,2019-09-18T08:19:00,14160
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895646,155819.7,4437,33,201909-18T13:42:00,12060,2019-09-18T08:15:00,13980
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895711,166680.9,5936,49,201909-18T13:53:00,12600,2019-09-18T08:37:00,15300
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895729,165474.7,5541,49,201909-18T13:49:00,12420,2019-09-18T08:41:00,15420
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895737,163464.1,6090,49,201909-18T13:47:00,12180,2019-09-18T08:43:00,15600
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895745,162870,6098,49,201909-18T13:44:00,12060,2019-09-18T08:46:00,15720
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895752,162089.8,5728,49,201909-18T13:41:00,11880,2019-09-18T08:48:00,15900
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895760,160915.2,5929,49,201909-18T13:36:00,11640,2019-09-18T08:51:00,16080
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895778,160174.8,5225,49,201909-18T13:33:00,11400,2019-09-18T08:55:00,16320
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895802,161075.7,7379,21,201909-18T13:18:00,10500,2019-09-18T07:33:00,11460
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895836,159126.4,6198,21,201909-18T13:09:00,10560,2019-09-18T07:19:00,11160
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895844,160411.3,5566,49,201909-18T13:30:00,11220,2019-09-18T08:58:00,16500
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895851,163003.3,4333,21,201909-18T07:43:00,12000,2019-09-18T19:46:00,12180
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895869,164805.7,5253,21,201909-18T13:32:00,11280,2019-09-18T19:49:00,12360
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008895877,167236.2,4299,21,201909-18T13:35:00,11520,2019-09-18T19:52:00,12540
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896008,208807.8,6668,17,201909-18T13:58:00,12960,2019-09-18T13:38:00,19020
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896115,206860.7,5031,17,201909-18T13:59:00,13140,2019-09-18T13:31:00,18660
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896149,201273.6,5968,17,201909-18T13:46:00,12360,2019-09-18T13:23:00,18240
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896230,200880.3,4626,47,201909-18T14:21:00,14460,2019-09-18T13:22:00,18120
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896305,217808.3,4257,22,201909-18T14:20:00,14280,2019-09-18T09:20:00,17880
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896370,213638.1,4378,22,201909-18T14:16:00,13980,2019-09-18T09:16:00,17580
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896388,211510.4,4286,22,201909-18T14:10:00,13740,2019-09-18T09:10:00,17340
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896396,221630.1,4277,22,201909-18T14:25:00,14580,2019-09-18T09:25:00,18180
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896412,224486.2,4493,22,201909-18T14:30:00,14820,2019-09-18T09:30:00,18420
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896503,235301.4,4140,22,201909-18T14:34:00,15420,2019-09-18T09:34:00,19020
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896735,244888.7,4096,22,201909-18T14:44:00,15960,2019-09-18T09:44:00,19560
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896800,222745.3,5799,10,201909-18T12:29:00,14940,2019-09-18T17:09:00,17340
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896909,216261.6,5595,10,201909-18T12:25:00,14520,2019-09-18T17:04:00,16920
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008896925,213170.9,3291,10,201909-18T12:16:00,14340,2019-09-18T16:55:00,16680
