From, to, distance in meters, calcTime, journeysFound, bestPickDeparture,bestPickTime, worstPickDeparture, worstPickTime
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008814258,131105,1278,6,2019-09-18T13:23:00,10860,2019-09-18T07:26:00,10980
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008814266,132247,1043,8,2019-09-18T13:35:00,11460,2019-09-18T07:44:00,12060
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008814308,142058.7,1345,15,2019-09-18T13:17:00,10380,2019-09-18T19:33:00,11340
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008814332,142282.7,957,15,2019-09-18T13:20:00,10620,2019-09-18T18:52:00,16140
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008814340,141884.9,970,12,2019-09-18T13:14:00,10200,2019-09-18T09:45:00,19260
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008814357,141762.3,944,12,2019-09-18T13:11:00,10080,2019-09-18T09:42:00,19140
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008814365,141882.6,925,12,2019-09-18T13:08:00,9900,2019-09-18T09:39:00,18960
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008814415,141414.4,995,6,2019-09-18T07:34:00,11520,2019-09-18T17:45:00,12120
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008814423,140014.6,1033,7,2019-09-18T13:34:00,11460,2019-09-18T17:48:00,12360
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008814449,137997.8,1206,8,2019-09-18T13:22:00,10680,2019-09-18T07:46:00,12180
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008814456,136619.6,1188,8,2019-09-18T13:17:00,10320,2019-09-18T07:39:00,11700
http://irail.be/stations/NMBS/008200136,http://irail.be/stations/NMBS/008814464,137430.5,1190,8,2019-09-18T13:19:00,10560,2019-09-18T07:42:00,11940
